id,class,consumer,site,detail,count,disposition
D0127,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetEnmityEntryList,System.Type.GetMethod,1,UNREVIEWED
D0128,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetEnmityEntryList,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0129,reflection-callsite,FFXIV.Framework,TinyIoC.AssemblyExtensions::SafeGetTypes,System.Reflection.Assembly.GetTypes,1,UNREVIEWED
D0130,reflection-callsite,FFXIV.Framework,TinyIoC.TinyIoCContainer::BuildUpInternal,System.Type.GetProperties,1,UNREVIEWED
D0131,reflection-callsite,FFXIV.Framework,TinyIoC.TinyIoCContainer::GetIEnumerableRequest,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0132,reflection-callsite,FFXIV.Framework,TinyIoC.TinyIoCContainer::GetLazyAutomaticFactoryRequest,System.Type.GetMethod,3,UNREVIEWED
D0133,reflection-callsite,FFXIV.Framework,TinyIoC.TypeExtensions::GetMethod,System.Type.GetMethods,1,UNREVIEWED
D0134,reflection-callsite,FFXIV.Framework,XamlGeneratedNamespace.GeneratedInternalTypeHelper::CreateDelegate,System.Type.InvokeMember,1,UNREVIEWED
D0135,reflection-callsite,FFXIV.Framework,XamlGeneratedNamespace.GeneratedInternalTypeHelper::CreateInstance,System.Activator.CreateInstance,1,UNREVIEWED
D0136,reflection-callsite,FFXIV_ACT_Plugin,Costura.AssemblyLoader::ReadFromEmbeddedResources,System.Reflection.Assembly.Load,2,UNREVIEWED
D0137,reflection-callsite,FFXIV_ACT_Plugin,Costura.AssemblyLoader::ResolveAssembly,System.Reflection.Assembly.Load,1,UNREVIEWED
D0138,reflection-callsite,FFXIV_ACT_Plugin,FFXIV_ACT_Plugin.FFXIV_ACT_Plugin::InitializeDeucalionPath,System.Type.GetProperty,1,UNREVIEWED
D0139,reflection-callsite,FFXIV_ACT_Plugin.Memory,FFXIV_ACT_Plugin.Memory.DataSubscription::DelegateCallback,System.Type.GetMethod,1,UNREVIEWED
